link,video_link,title,time,date,day,arm_month,year,month,iso_date,cleaned_title
https://www.1tv.am/hy/video/Հարցազրույց-Ռոմանոս-Պետրոսյանի-հետ/201963,https://www.youtube.com/embed/R42YlhI4Eu4?autoplay=1&autohide=1,Հարցազրույց Ռոմանոս Պետրոսյանի հետ,21:50,"22 Օգս, 2022",22,Օգս,2022,08,2022-08-22,ռոմանոս պետրոսյան
https://www.1tv.am/hy/video/Հարցազրույց-Նորայր-Նորիկյանի-հետ/201932,https://www.youtube.com/embed/l0jyr6CVJcw?autoplay=1&autohide=1,Հարցազրույց Նորայր Նորիկյանի հետ,21:15,"19 Օգս, 2022",19,Օգս,2022,08,2022-08-19,նորայր նորիկյան
https://www.1tv.am/hy/video/Հարցազրույց-Տիգրան-Ավինյանի-հետ/201930,https://www.youtube.com/embed/XuP9_LtLTj0?autoplay=1&autohide=1,Հարցազրույց Տիգրան Ավինյանի հետ,21:15,"18 Օգս, 2022",18,Օգս,2022,08,2022-08-18,տիգրան ավինյան
https://www.1tv.am/hy/video/Հարցազրույց-Արմեն-Գասպարյանի-հետ/201918,https://www.youtube.com/embed/Wkl-bfe9jME?autoplay=1&autohide=1,Հարցազրույց Արմեն Գասպարյանի հետ,21:45,"17 Օգս, 2022",17,Օգս,2022,08,2022-08-17,արմեն գասպարյան
https://www.1tv.am/hy/video/Հարցազրույց-Ռուբեն-Խաչունցի-հետ/201878,https://www.youtube.com/embed/c7PLfwDAQZ8?autoplay=1&autohide=1,Հարցազրույց Ռուբեն Խաչունցի հետ,21:15,"16 Օգս, 2022",16,Օգս,2022,08,2022-08-16,ռուբեն խաչունց
https://www.1tv.am/hy/video/Հարցազրույց-Արմեն-Փամբուխչյանի-հետ/201864,https://www.youtube.com/embed/UXSWJttjLg0?autoplay=1&autohide=1,Հարցազրույց Արմեն Փամբուխչյանի հետ,20:55,"15 Օգս, 2022",15,Օգս,2022,08,2022-08-15,արմեն փամբուխչյան
https://www.1tv.am/hy/video/Հարցազրույց-Արմեն-Պետրոսյանի-հետ/201789,https://www.youtube.com/embed/3u9vZcqMk4g?autoplay=1&autohide=1,Հարցազրույց Արմեն Պետրոսյանի հետ,21:15,"12 Օգս, 2022",12,Օգս,2022,08,2022-08-12,արմեն պետրոսյան
https://www.1tv.am/hy/video/Հարցազրույց-Վահան-Քերոբյանի-հետ/201779,https://www.youtube.com/embed/UwLURXR5a5M?autoplay=1&autohide=1,Հարցազրույց Վահան Քերոբյանի հետ,21:50,"11 Օգս, 2022",11,Օգս,2022,08,2022-08-11,վահան քերոբյան
https://www.1tv.am/hy/video/Հարցազրույց-Արամ-Անանյանի-հետ/201564,https://www.youtube.com/embed/UybimkkqbMw?autoplay=1&autohide=1,Հարցազրույց Արամ Անանյանի հետ,21:30,"29 Հլս, 2022",29,Հլս,2022,07,2022-07-29,արամ անանյան
https://www.1tv.am/hy/video/Հարցազրույց-Կարեն-Ղազարյանի-հետ/201495,https://www.youtube.com/embed/otyTAS7hKdg?autoplay=1&autohide=1,Հարցազրույց Կարեն Ղազարյանի հետ,22:00,"28 Հլս, 2022",28,Հլս,2022,07,2022-07-28,կարեն ղազարյան
https://www.1tv.am/hy/video/Հարցազրույց-Հակոբ-Արշակյանի-հետ/201468,https://www.youtube.com/embed/qQ4sLgEx9_s?autoplay=1&autohide=1,Հարցազրույց Հակոբ Արշակյանի հետ,21:40,"27 Հլս, 2022",27,Հլս,2022,07,2022-07-27,հակոբ արշակյան
https://www.1tv.am/hy/video/Հարցազրույց-Անի-Ապրահամյանի-հետ/201457,https://www.youtube.com/embed/LSegWOlMdm0?autoplay=1&autohide=1,Հարցազրույց Անի Ապրահամյանի հետ,21:15,"26 Հլս, 2022",26,Հլս,2022,07,2022-07-26,ան ապրահամյան
https://www.1tv.am/hy/video/Հարցազրույց-Սամվել-Հայրապետյանի-հետ/201427,https://www.youtube.com/embed/6xpfOg2TpcQ?autoplay=1&autohide=1,Հարցազրույց Սամվել Հայրապետյանի հետ,21:15,"25 Հլս, 2022",25,Հլս,2022,07,2022-07-25,սամվել հայրապետյան
https://www.1tv.am/hy/video/Հարցազրույց-Գագիկ-Սաֆարյանի-հետ/201322,https://www.youtube.com/embed/fCi2kFrgEoQ?autoplay=1&autohide=1,Հարցազրույց Գագիկ Սաֆարյանի հետ,21:50,"21 Հլս, 2022",21,Հլս,2022,07,2022-07-21,գագիկ սաֆարյան
https://www.1tv.am/hy/video/Հարցազրույց-Արմեն-Փամբուխչյանի-հետ/201302,https://www.youtube.com/embed/9ZAY92ERb0A?autoplay=1&autohide=1,Հարցազրույց Արմեն Փամբուխչյանի հետ,21:15,"20 Հլս, 2022",20,Հլս,2022,07,2022-07-20,արմեն փամբուխչյան
