link,video_link,title,time,date
https://www.1tv.am/hy/video/Հարցազրույց-Անդրանիկ-Քոչարյանի-հետ/230822,https://www.youtube.com/embed/2Nk4_8inWsE?autoplay=1&autohide=1,Հարցազրույց Անդրանիկ Քոչարյանի հետ,22:00,"28 Հնվ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Գայանե-Աբրահամյանի-հետ/230816,https://www.youtube.com/embed/FXXijvwGagk?autoplay=1&autohide=1,Հարցազրույց Գայանե Աբրահամյանի հետ,22:10,"27 Հնվ, 2025"
https://www.1tv.am/hy/video/Պետրոս-Ղազարյանի-հարցազրույցը-ՀՀ-վարչապետ-Նիկոլ-Փաշինյանի-հետ/230754,https://www.youtube.com/embed/olE-AcwQWfc?autoplay=1&autohide=1,Պետրոս Ղազարյանի հարցազրույցը ՀՀ վարչապետ Նիկոլ Փաշինյանի հետ,21:50,"25 Հնվ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Սուրեն-Գրիգորյանի-հետ/230750,https://www.youtube.com/embed/3EZ3YxznGGg?autoplay=1&autohide=1,Հարցազրույց Սուրեն Գրիգորյանի հետ,22:10,"24 Հնվ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Արթուր-Հովհաննիսյանի-հետ/230713,https://www.youtube.com/embed/bDchPif3RP4?autoplay=1&autohide=1,Հարցազրույց Արթուր Հովհաննիսյանի հետ,22:10,"23 Հնվ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Վահե-Հովհաննիսյանի-հետ/230697,https://www.youtube.com/embed/M5Lse4GEyxE?autoplay=1&autohide=1,Հարցազրույց Վահե Հովհաննիսյանի հետ,22:10,"22 Հնվ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Էդուարդ-Հակոբյանի-հետ/230655,https://www.youtube.com/embed/vlZFyYDeDrU?autoplay=1&autohide=1,Հարցազրույց Էդուարդ Հակոբյանի հետ,22:10,"21 Հնվ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Լևոն-Բարխուդարյանի-հետ/230642,https://www.youtube.com/embed/N-I33eg13Pc?autoplay=1&autohide=1,Հարցազրույց Լևոն Բարխուդարյանի հետ,22:10,"20 Հնվ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Գեորգի-Դերլուգյանի-հետ/230553,https://www.youtube.com/embed/wUryATZPzKY?autoplay=1&autohide=1,Հարցազրույց Գեորգի Դերլուգյանի հետ,22:10,"17 Հնվ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Արեգ-Քոչինյանի-հետ/230522,https://www.youtube.com/embed/r4QAYCSbP98?autoplay=1&autohide=1,Հարցազրույց Արեգ Քոչինյանի հետ,22:10,"16 Հնվ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Արման-Բաբաջանյանի-հետ/230456,https://www.youtube.com/embed/fH8UILDdcdo?autoplay=1&autohide=1,Հարցազրույց Արման Բաբաջանյանի հետ,22:10,"14 Հնվ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Սուրեն-Գրիգորյանի-հետ/230432,https://www.youtube.com/embed/QFAwX1AvYJU?autoplay=1&autohide=1,Հարցազրույց Սուրեն Գրիգորյանի հետ,22:10,"13 Հնվ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Տիգրան-Հակոբյանի-հետ/230396,https://www.youtube.com/embed/X2BIon6sok4?autoplay=1&autohide=1,Հարցազրույց Տիգրան Հակոբյանի հետ,22:50,"10 Հնվ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Արմեն-Մուրադյանի-հետ/230380,https://www.youtube.com/embed/PQivdPGlwj4?autoplay=1&autohide=1,Հարցազրույց Արմեն Մուրադյանի հետ,21:50,"09 Հնվ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Արամ-Սարգսյանի-հետ/230361,https://www.youtube.com/embed/mpPiJlun5eE?autoplay=1&autohide=1,Հարցազրույց Արամ Սարգսյանի հետ,21:50,"08 Հնվ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Ստեփան-Գրիգորյանի-հետ/230351,https://www.youtube.com/embed/NjXcxV5sTTw?autoplay=1&autohide=1,Հարցազրույց Ստեփան Գրիգորյանի հետ,21:50,"07 Հնվ, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Խաչատուր-Սուքիասյանի-հետ/230288,https://www.youtube.com/embed/pXq9TSDdhyU?autoplay=1&autohide=1,Հարցազրույց Խաչատուր Սուքիասյանի հետ,22:10,"27 Դեկ, 2024"
https://www.1tv.am/hy/video/Հարցազրույց-Արփինե-Սարգսյանի-հետ/230219,https://www.youtube.com/embed/8PIsv-uAsR4?autoplay=1&autohide=1,Հարցազրույց Արփինե Սարգսյանի հետ,22:10,"26 Դեկ, 2024"
