link,video_link,title,time,date,day,arm_month,year,month,iso_date,cleaned_title,video_id,Duration,Thumbnail_URL,Views
https://www.1tv.am/hy/video/Հարցազրույց-Հայկ-Սուքիասյանի-հետ/231158,https://www.youtube.com/embed/azYrbMmjW9Y?autoplay=1&autohide=1,Հարցազրույց Հայկ Սուքիասյանի հետ,22:10,"14 Փտր, 2025",14,Փտր,2025,2,2025-02-14,հայկ սուքիասյան,azYrbMmjW9Y,00:23:01,https://i.ytimg.com/vi/azYrbMmjW9Y/hqdefault.jpg,46043
https://www.1tv.am/hy/video/Հարցազրույց-Սերգեյ-Գոլուբի-և-Հայկուհի-Գեոկչյանի-հետ/231117,https://www.youtube.com/embed/mFd1WNIQXg0?autoplay=1&autohide=1,Հարցազրույց Սերգեյ Գոլուբի և Հայկուհի Գեոկչյանի հետ,22:10,"13 Փտր, 2025",13,Փտր,2025,2,2025-02-13,սերգեյ գոլուբ և հայկուհ գեոկչյան,mFd1WNIQXg0,00:22:35,https://i.ytimg.com/vi/mFd1WNIQXg0/hqdefault.jpg,5703
https://www.1tv.am/hy/video/Հարցազրույց-Արման-Եղոյանի-հետ/231094,https://www.youtube.com/embed/sO-HjfA2B3M?autoplay=1&autohide=1,Հարցազրույց Արման Եղոյանի հետ,22:10,"12 Փտր, 2025",12,Փտր,2025,2,2025-02-12,արման եղոյան,sO-HjfA2B3M,00:21:46,https://i.ytimg.com/vi/sO-HjfA2B3M/hqdefault.jpg,21012
https://www.1tv.am/hy/video/Հարցազրույց-Վիգեն-Չըթըրյանի-հետ/231050,https://www.youtube.com/embed/wMpMHwlRaIw?autoplay=1&autohide=1,Հարցազրույց Վիգեն Չըթըրյանի հետ,22:10,"10 Փտր, 2025",10,Փտր,2025,2,2025-02-10,վիգեն չըթըրյան,wMpMHwlRaIw,00:21:35,https://i.ytimg.com/vi/wMpMHwlRaIw/hqdefault.jpg,17083
https://www.1tv.am/hy/video/Հարցազրույց-Հայկ-Կոնջորյանի-հետ/231033,https://www.youtube.com/embed/rCEb9pU7Rko?autoplay=1&autohide=1,Հարցազրույց Հայկ Կոնջորյանի հետ,22:10,"07 Փտր, 2025",7,Փտր,2025,2,2025-02-07,հայկ կոնջորյան,rCEb9pU7Rko,00:21:40,https://i.ytimg.com/vi/rCEb9pU7Rko/hqdefault.jpg,37344
https://www.1tv.am/hy/video/Հարցազրույց-Բաբկեն-Թունյանի-հետ/230991,https://www.youtube.com/embed/9QovpP63kGY?autoplay=1&autohide=1,Հարցազրույց Բաբկեն Թունյանի հետ,22:10,"06 Փտր, 2025",6,Փտր,2025,2,2025-02-06,բաբկեն թունյան,9QovpP63kGY,00:22:25,https://i.ytimg.com/vi/9QovpP63kGY/hqdefault.jpg,14531
https://www.1tv.am/hy/video/Հարցազրույց-Գառնիկ-Դանիելյանի-հետ/230986,https://www.youtube.com/embed/2beBtQAXlbo?autoplay=1&autohide=1,Հարցազրույց Գառնիկ Դանիելյանի հետ,22:10,"05 Փտր, 2025",5,Փտր,2025,2,2025-02-05,գառնիկ դանիելյան,2beBtQAXlbo,00:31:06,https://i.ytimg.com/vi/2beBtQAXlbo/hqdefault.jpg,56320
https://www.1tv.am/hy/video/Հարցազրույց-Միքայել-Զոլյանի-հետ/230942,https://www.youtube.com/embed/CigKPH_vhLo?autoplay=1&autohide=1,Հարցազրույց Միքայել Զոլյանի հետ,22:10,"03 Փտր, 2025",3,Փտր,2025,2,2025-02-03,միքայել զոլյան,CigKPH_vhLo,00:32:25,https://i.ytimg.com/vi/CigKPH_vhLo/hqdefault.jpg,27854
https://www.1tv.am/hy/video/Հարցազրույց-Գարո-Փայլանի-հետ/230894,https://www.youtube.com/embed/0FKCAATFOJc?autoplay=1&autohide=1,Հարցազրույց Գարո Փայլանի հետ,22:10,"31 Հնվ, 2025",31,Հնվ,2025,1,2025-01-31,գարո փայլան,0FKCAATFOJc,00:25:01,https://i.ytimg.com/vi/0FKCAATFOJc/hqdefault.jpg,39892
https://www.1tv.am/hy/video/Հարցազրույց-Տիգրան-Ավինյանի-հետ/230853,https://www.youtube.com/embed/VmE3cOfaLxk?autoplay=1&autohide=1,Հարցազրույց Տիգրան Ավինյանի հետ,22:10,"29 Հնվ, 2025",29,Հնվ,2025,1,2025-01-29,տիգրան ավինյան,VmE3cOfaLxk,00:23:21,https://i.ytimg.com/vi/VmE3cOfaLxk/hqdefault.jpg,40335
https://www.1tv.am/hy/video/Հարցազրույց-Անդրանիկ-Քոչարյանի-հետ/230822,https://www.youtube.com/embed/2Nk4_8inWsE?autoplay=1&autohide=1,Հարցազրույց Անդրանիկ Քոչարյանի հետ,22:00,"28 Հնվ, 2025",28,Հնվ,2025,1,2025-01-28,անդրանիկ քոչարյան,2Nk4_8inWsE,00:27:06,https://i.ytimg.com/vi/2Nk4_8inWsE/hqdefault.jpg,53959
https://www.1tv.am/hy/video/Հարցազրույց-Գայանե-Աբրահամյանի-հետ/230816,https://www.youtube.com/embed/FXXijvwGagk?autoplay=1&autohide=1,Հարցազրույց Գայանե Աբրահամյանի հետ,22:10,"27 Հնվ, 2025",27,Հնվ,2025,1,2025-01-27,գայանե աբրահամյան,FXXijvwGagk,00:24:25,https://i.ytimg.com/vi/FXXijvwGagk/hqdefault.jpg,30237
https://www.1tv.am/hy/video/Պետրոս-Ղազարյանի-հարցազրույցը-ՀՀ-վարչապետ-Նիկոլ-Փաշինյանի-հետ/230754,https://www.youtube.com/embed/olE-AcwQWfc?autoplay=1&autohide=1,Պետրոս Ղազարյանի հարցազրույցը ՀՀ վարչապետ Նիկոլ Փաշինյանի հետ,21:50,"25 Հնվ, 2025",25,Հնվ,2025,1,2025-01-25,նիկոլ փաշինյան,olE-AcwQWfc,00:51:45,https://i.ytimg.com/vi/olE-AcwQWfc/hqdefault.jpg,109376
https://www.1tv.am/hy/video/Հարցազրույց-Սուրեն-Գրիգորյանի-հետ/230750,https://www.youtube.com/embed/3EZ3YxznGGg?autoplay=1&autohide=1,Հարցազրույց Սուրեն Գրիգորյանի հետ,22:10,"24 Հնվ, 2025",24,Հնվ,2025,1,2025-01-24,սուրեն գրիգորյան,3EZ3YxznGGg,00:25:36,https://i.ytimg.com/vi/3EZ3YxznGGg/hqdefault.jpg,17029
https://www.1tv.am/hy/video/Հարցազրույց-Արթուր-Հովհաննիսյանի-հետ/230713,https://www.youtube.com/embed/bDchPif3RP4?autoplay=1&autohide=1,Հարցազրույց Արթուր Հովհաննիսյանի հետ,22:10,"23 Հնվ, 2025",23,Հնվ,2025,1,2025-01-23,արթուր հովհաննիսյան,bDchPif3RP4,00:22:15,https://i.ytimg.com/vi/bDchPif3RP4/hqdefault.jpg,24064
https://www.1tv.am/hy/video/Հարցազրույց-Վահե-Հովհաննիսյանի-հետ/230697,https://www.youtube.com/embed/M5Lse4GEyxE?autoplay=1&autohide=1,Հարցազրույց Վահե Հովհաննիսյանի հետ,22:10,"22 Հնվ, 2025",22,Հնվ,2025,1,2025-01-22,վահե հովհաննիսյան,M5Lse4GEyxE,00:23:46,https://i.ytimg.com/vi/M5Lse4GEyxE/hqdefault.jpg,13052
https://www.1tv.am/hy/video/Հարցազրույց-Էդուարդ-Հակոբյանի-հետ/230655,https://www.youtube.com/embed/vlZFyYDeDrU?autoplay=1&autohide=1,Հարցազրույց Էդուարդ Հակոբյանի հետ,22:10,"21 Հնվ, 2025",21,Հնվ,2025,1,2025-01-21,էդուարդ հակոբյան,vlZFyYDeDrU,00:31:55,https://i.ytimg.com/vi/vlZFyYDeDrU/hqdefault.jpg,17522
