,link,video_link,title,time,date,video_id,views,likes,comments,shares
1175,https://www.1tv.am/hy/video/Հարցազրույց-Վլադիմիր-Վարդանյանի-հետ/156486,https://www.youtube.com/embed/l9ClrI8i-D8?autoplay=1&autohide=1,Հարցազրույց Վլադիմիր Վարդանյանի հետ,19:50,"23 Հնս, 2020",l9ClrI8i-D8,5218,146,9,N/A
1176,https://www.1tv.am/hy/video/Հարցազրույց-Արամ-Սարգսյանի-հետ/156408,https://www.youtube.com/embed/Q_YDw8V2iP4?autoplay=1&autohide=1,Հարցազրույց Արամ Սարգսյանի հետ,19:30,"22 Հնս, 2020",Q_YDw8V2iP4,18712,659,57,N/A
1177,https://www.1tv.am/hy/video/Հարցազրույց-Էսթեր-Դեմիրճյանի-հետ/156170,https://www.youtube.com/embed/1SyAICL3aeQ?autoplay=1&autohide=1,Հարցազրույց Էսթեր Դեմիրճյանի հետ,19:15,"20 Հնս, 2020",1SyAICL3aeQ,2894,50,0,N/A
1178,https://www.1tv.am/hy/video/Հարցազրույց-Արայիկ-Հարությունյանի-հետ/156160,https://www.youtube.com/embed/sQYG6nIYTb4?autoplay=1&autohide=1,Հարցազրույց Արայիկ Հարությունյանի հետ,19:40,"19 Հնս, 2020",sQYG6nIYTb4,2594,88,7,N/A
1179,https://www.1tv.am/hy/video/Հարցազրույց-Լևոն-Զուրաբյանի-հետ/156061,https://www.youtube.com/embed/ITenRy0DlLc?autoplay=1&autohide=1,Հարցազրույց Լևոն Զուրաբյանի հետ,19:35,"18 Հնս, 2020",ITenRy0DlLc,12193,192,12,N/A
1180,https://www.1tv.am/hy/video/Հարցազրույց-Ռուբեն-Ռուբինյանի-հետ/155998,https://www.youtube.com/embed/E2cS4SBeCdY?autoplay=1&autohide=1,Հարցազրույց Ռուբեն Ռուբինյանի հետ,21:45,"17 Հնս, 2020",E2cS4SBeCdY,10849,229,15,N/A
1181,https://www.1tv.am/hy/video/Հարցազրույց-Էդմոն-Մարուքյանի-հետ/155944,https://www.youtube.com/embed/Gxiqpprtsag?autoplay=1&autohide=1,Հարցազրույց Էդմոն Մարուքյանի հետ,21:40,"16 Հնս, 2020",Gxiqpprtsag,3000,166,41,N/A
1182,https://www.1tv.am/hy/video/Հարցազրույց-Արթուր-Հովհաննիսյանի-հետ/155671,https://www.youtube.com/embed/fRRcxFOmHrs?autoplay=1&autohide=1,Հարցազրույց Արթուր Հովհաննիսյանի հետ,19:45,"12 Հնս, 2020",fRRcxFOmHrs,1026,40,12,N/A
1183,https://www.1tv.am/hy/video/Հարցազրույց-Արծրուն-Հովհաննիսյանի-հետ/155598,https://www.youtube.com/embed/VltMh-sWwmE?autoplay=1&autohide=1,Հարցազրույց Արծրուն Հովհաննիսյանի հետ,19:30,"11 Հնս, 2020",VltMh-sWwmE,5341,87,4,N/A
1184,https://www.1tv.am/hy/video/Հարցազրույց-Արտյոմ-Սմբատյանի-հետ/155500,https://www.youtube.com/embed/FTu1yn-_BYg?autoplay=1&autohide=1,Հարցազրույց Արտյոմ Սմբատյանի հետ,19:30,"10 Հնս, 2020",FTu1yn-_BYg,1011,22,1,N/A
